Reaction Date,Reaction Type,Parent Type,Parent ID
"Oct 26, 2021, 3:45:27 AM",Kudos,Activity,6166386060
"Oct 27, 2021, 4:00:36 PM",Kudos,Activity,6169042510
"Oct 27, 2021, 4:03:21 PM",Kudos,Post,18386199
"Oct 27, 2021, 4:05:25 PM",Kudos,Activity,6170085879
"Oct 29, 2021, 2:10:18 PM",Kudos,Activity,6180596616
"Oct 29, 2021, 2:11:01 PM",Kudos,Activity,6178565496
"Nov 1, 2021, 1:13:31 PM",Kudos,Activity,6187984004
"Nov 1, 2021, 1:14:12 PM",Kudos,Activity,6187862079
"Nov 1, 2021, 1:14:21 PM",Kudos,Activity,6193533887
"Nov 1, 2021, 1:14:27 PM",Kudos,Activity,6189121698
"Nov 1, 2021, 1:14:44 PM",Kudos,Activity,6188171627
"Nov 1, 2021, 1:14:47 PM",Kudos,Activity,6194992672
"Nov 1, 2021, 1:15:05 PM",Kudos,Activity,6195083931
"Nov 3, 2021, 8:38:07 PM",Kudos,Activity,6205989577
"Nov 3, 2021, 8:38:12 PM",Kudos,Activity,6207692416
"Nov 7, 2021, 5:34:51 PM",Kudos,Activity,6225747289
"Nov 8, 2021, 6:53:23 PM",Kudos,Activity,6229765866
"Nov 8, 2021, 6:54:49 PM",Kudos,Activity,6227621691
"Nov 12, 2021, 2:42:57 PM",Kudos,Activity,6245046961
"Nov 13, 2021, 7:14:30 PM",Kudos,Activity,6252407380
"Nov 13, 2021, 7:15:40 PM",Kudos,Activity,6252987346
"Nov 13, 2021, 7:15:40 PM",Kudos,Activity,6253003465
"Nov 13, 2021, 7:15:50 PM",Kudos,Activity,6253255996
"Nov 13, 2021, 7:16:07 PM",Kudos,Activity,6252961899
"Nov 14, 2021, 10:19:06 PM",Kudos,Activity,6253091418
"Nov 15, 2021, 10:23:42 PM",Kudos,Activity,6261011561
"Nov 15, 2021, 10:25:11 PM",Kudos,Activity,6262530882
"Nov 19, 2021, 2:43:41 PM",Kudos,Activity,6277178937
"Nov 29, 2021, 5:41:55 AM",Kudos,Activity,6319459744
"Nov 29, 2021, 5:42:31 AM",Kudos,Activity,6293871053
"Nov 29, 2021, 5:42:31 AM",Kudos,Activity,6293796468
"Nov 29, 2021, 5:42:37 AM",Kudos,Activity,6318619025
"Nov 29, 2021, 5:42:43 AM",Kudos,Activity,6318851249
"Dec 13, 2021, 8:38:46 PM",Kudos,Activity,6376405096
"Dec 13, 2021, 8:38:53 PM",Kudos,Activity,6378850113
"Dec 15, 2021, 9:04:06 PM",Kudos,Activity,6384636063
"Dec 16, 2021, 7:35:40 PM",Kudos,Activity,6391978480
"Dec 25, 2021, 5:50:28 PM",Kudos,Activity,6423606243
"Dec 28, 2021, 3:34:17 AM",Kudos,Activity,6435215964
"Dec 28, 2021, 3:34:28 AM",Kudos,Activity,6435965341
"Dec 28, 2021, 3:34:32 AM",Kudos,Activity,6435492236
"Jan 4, 2022, 2:36:35 AM",Kudos,Activity,6457322384
"Jan 4, 2022, 11:50:53 PM",Kudos,Activity,6471543570
"Jan 4, 2022, 11:50:56 PM",Kudos,Activity,6472738386
"Jan 9, 2022, 7:27:04 AM",Kudos,Activity,6493470925
"Jan 28, 2022, 2:54:18 PM",Kudos,Activity,6589916338
"Feb 28, 2022, 2:38:10 PM",Kudos,Activity,6747036678
"Feb 28, 2022, 2:38:12 PM",Kudos,Activity,6747188224
"Feb 28, 2022, 2:39:00 PM",Kudos,Activity,6741579414
"Feb 28, 2022, 2:39:02 PM",Kudos,Activity,6741761522
"Apr 5, 2022, 4:51:59 AM",Kudos,Activity,6932374978
"Apr 7, 2022, 11:50:33 PM",Kudos,Activity,6937420443
"Apr 7, 2022, 11:50:43 PM",Kudos,Activity,6938101115
"Apr 21, 2022, 12:30:14 PM",Kudos,Activity,7014882540
"Apr 24, 2022, 7:52:20 PM",Kudos,Activity,7030566757
"May 1, 2022, 6:44:09 PM",Kudos,Activity,7070225567
"May 3, 2022, 3:43:09 AM",Kudos,Activity,7078245070
"May 14, 2022, 1:53:05 PM",Kudos,Activity,7136532699
"May 28, 2022, 7:57:10 PM",Kudos,Activity,7212419335
"Jun 7, 2022, 1:32:02 AM",Kudos,Activity,7260424408
"Jun 27, 2022, 11:44:19 PM",Kudos,Activity,7374376752
"Sep 9, 2022, 2:19:37 PM",Kudos,Activity,7779556304
"Sep 13, 2022, 12:11:14 AM",Kudos,Activity,7797044280
"Sep 18, 2022, 5:21:33 PM",Kudos,Activity,7822948253
"Sep 18, 2022, 5:22:45 PM",Kudos,Activity,7827248841
"Sep 24, 2022, 6:09:07 PM",Kudos,Activity,7860169092
"Oct 1, 2022, 6:42:40 PM",Kudos,Activity,7895993685
"Oct 5, 2022, 4:31:59 PM",Kudos,Activity,7900128379
"Oct 5, 2022, 4:32:34 PM",Kudos,Activity,7915141810
"Oct 10, 2022, 11:53:05 PM",Kudos,Activity,7940891926
"Oct 20, 2022, 12:11:52 AM",Kudos,Activity,7990131832
"Nov 6, 2022, 8:58:56 PM",Kudos,Activity,8077626550
"Nov 13, 2022, 4:12:18 PM",Kudos,Activity,8107682350
"Nov 14, 2022, 8:08:21 AM",Kudos,Activity,8108602916
"Nov 24, 2022, 11:34:33 PM",Kudos,Activity,8163862145
